1,2071716,3
1,2138987,3
1,3699680,4
1,1912395,4
1,1912080,4
2,1082398,3
2,4934879,5
2,3335271,3
3,3077922,3
3,1015358,3
3,1499781,3
3,1484292,3
3,3073493,3
3,3073492,3
3,1864150,5
3,1484291,3
3,1382842,5
3,1016062,4
3,1047066,5
3,1382840,5
3,1010616,4
3,1382844,5
3,1016060,4
3,1313317,5
3,2111291,3
3,1471693,5
3,1362833,3
3,2057330,3
3,1040589,4
3,2115041,4
3,1016054,4
3,1116186,4
3,2379437,4
3,1016057,5
3,1952518,3
3,2016479,3
3,2382527,4
3,1471706,5
3,1055182,3
3,1055183,3
3,3086295,3
3,1090044,5
3,1015026,3
3,1014456,4
3,1484284,3
3,2973561,3
3,4160239,3
3,1104557,3
3,1484300,3
3,1098895,4
3,1055186,3
3,3170157,3
3,2969113,3
3,1008650,4
3,1080964,3
3,1008452,3
3,1001861,3
3,1281708,3
3,3802287,3
3,1037716,5
3,3802288,3
3,3802289,3
3,2105526,4
3,1470742,5
3,1016429,4
3,1017713,3
3,1850861,5
3,3628617,3
3,1035614,3
3,1055097,3
3,1046172,5
3,1362455,4
3,1956299,2
3,1471704,5
3,3405811,2
3,1483285,5
3,1041403,3
3,1361268,4
3,3405814,2
3,1382830,5
3,1382832,5
4,1431744,5
4,1481622,5
5,5257316,4
5,1070175,5
6,1431744,3
6,1424324,4
6,3008232,4
6,2378581,4
6,2027177,4
7,3128788,4
7,1741979,4
7,1963368,4
7,1781637,3
7,3115890,5
7,3124386,5
7,1261187,3
7,2257188,5
7,4213445,5
7,3713021,5
7,3416889,5
7,2052972,4
7,2377957,5
8,3422622,4
8,4229407,3
8,3742814,3
8,3711727,3
8,1528947,3
8,4010969,4
9,2009864,3
9,2194590,3
10,1032344,4
10,1082195,5
10,1062945,4
10,1029796,3
10,1018026,4
10,1054384,5
10,1148192,5
10,2024263,5
10,1737577,4
10,3042494,3
10,1212486,5
10,1331454,5
11,1083637,4
11,1064298,3
11,1313268,3
12,2143308,3
12,2209098,5
12,3107284,3
12,2115502,5
13,4732175,4
13,1052424,3
13,1028506,2
14,1028008,4
14,1903968,5
15,1220045,4
15,1998320,4
15,2160939,4
15,3755012,4
15,4046059,5
15,4046058,5
15,3199473,4
15,4046057,5
15,3417695,5
15,3681685,4
15,1477227,4
15,1449361,5
15,3586520,5
15,1462444,4
15,3250041,5
15,4262775,5
15,1915765,4
16,3101425,5
16,4809777,5
16,1902719,4
17,2307291,3
17,1770474,5
18,1036864,5
18,1490362,3
18,2138984,3
18,1807779,3
